 SR NO.,CUSTOMER NAME,MATERIAL TYPE,PART SIZE,CUSTOMER PART CODE,UOM,RECIVED QTY,DISPATCH QTY,BALANCE QTY,STOCK IN KG PER PIC,STOCK IN KG ,,
1,ADARSH,VCI BAG,400 X 400,1580 pcs dump,PCS,1580,1580,0,0.015,0,,fz
2,ASK,LD BAG,110 X 440 300,,PCS,9000,9000,0,0.007,0,,
3,ASK,LD BAG SUZUKI,10 X 14 X 300,PKPOPOL2070406,PCS,23375,23375,0,0.015,0,,
4,ASK,LD BAG,110 X 1050 x 300,PKPOPOL2070307,PCS,31750,31750,0,0.016,0,,
5,B PACK,VCI BAG,300 X 460,,PCS,2350,2350,0,0.019,0,,
6,B PACK,VCI BAG,250 X 360,,PCS,700,700,0,0.013,0,,
7,B PACK,VCI BAG,330 X 250 80 MIC,,PCS,47850,47850,0,0.00132,0,,
8,B PACK,VCI BAG,230 X 320,,PCS,1980,1980,0,0.01,0,,
9,B PACK,VCI BAG,400 X 600 X 240,,PCS,16530,16530,0,0.0027,0,,
10,B PACK,VCI BAG,130 X 150 X 240,,PCS,12000,,12000,0.002,24,,
11,B PACK,VCI BAG,460 X 620 X 280,,PCS,2320,0,2320,1,2320,,
12,B PACK,VCI BAG,460 X 620,,PCS,0,0,0,0.0386,0,,
13,B PACK,VCI BAG,130 X 200,8930 pcs. DUMP,PCS,8930,,8930,0.004,35.72,,
14,B PACK,VCI BAG,400 X 550 X 280,,PCS,2380,,2380,0.0301,71.638,,
15,B PACK,LD BAG,,,KGS,0,0,0,1,0,,
16,B PACK,VCI BAG,100 X 160 X 400,,PCS,8000,8000,0,0.003,0,,
17,B PACK,VCI BAG,14 X 16 75 MIC,,PCS,2600,,2600,0.0258,67.08,,
18,B PACK,VCI BAG,8 X 10 70 MIC,,PCS,6940,,6940,0.007579,52.59826,,
19,B PACK,VCI BAG,10 X 12 80 MIC,,PCS,3770,,3770,0.002322,8.75394,,
20,BAJAJ,VCI SHEET,1080 X 919 80 MIC,70000147,PCS,6380,2700,3680,0.0752,276.736,ok,
21,BAJAJ,VCI SHEET,1000 X 920 80 MIC,70000148,PCS,7298,3000,4298,0.0138,59.3124,ok,
22,BAJAJ,VCI BLUE PRINT BAG,110 X 350 80 MIC,70000411,PCS,91600,91600,0,0.0006,0,ok,
23,BAJAJ,VCI BAG,400 X 350 X 320,DUMP,PCS,1600,1000,600,0.027,16.2,ok,
24,BAJAJ,VCI BAG,340 X 430,,PCS,400,,400,0.028,11.2,,
25,BAJAJ,VCI BAG,250 X 300 X 280,70000193,PCS,3000,,3000,0.0105,31.5,ok,
26,BAJAJ,VCI BAG,1150 X 750 X 750,,PCS,0,0,0,0.366,0,ok,
27,BAJAJ,VCI BAG,260 X 400,,PCS,27900,27900,0,,,,
28,BALAJI,VCI BAG,7 X 9,,PCS,2450,2450,0,0.007,0,ok,
29,BALAJI,VCI BAG,8 X 10 90 MIC,,KGS,105.6,105.6,0,1,0,ok,
30,BALAJI,LD BAG,8 X 12 90 MIC,,PCS,2000,2000,0,0.012,0,,
31,BALAJI,VCI BLUE PLAIN,5 X 5 X 360,,KGS,62,62,0,1,0,,
32,BALAJI,VCI BLUE PLAIN,6 X 11 X 360,,KGS,93.1,93.1,0,1,0,,
33,BALAJI,VCI BLUE PLAIN,25 X 25 X 360,,KGS,738,738,0,1,0,,
34,BALAJI,VCI BLUE PLAIN,5 X 20 X 360,,KGS,138.6,138.6,0,1,0,,
35,BALAJI,VCI BLUE PLAIN,7 X 16 X 360,,KGS,144.2,144.2,0,1,0,,
36,BALAJI,VCI BLUE PLAIN,6 X 8 X 360,,KGS,92.2,92.2,0,1,0,,
37,BALAJI,VCI BLUE PLAIN,15 X 15 X 360,,KGS,291.7,291.7,0,1,0,,
38,BALAJI,VCI BLUE PLAIN,4 X 4 X 360,,KGS,209.6,209.6,0,1,0,,
39,BALAJI,VCI BLUE PLAIN,6 X 15 X 360,,KGS,145.6,145.6,0,1,0,,
40,BALAJI,VCI BLUE PLAIN,4 X 16 X 360,,KGS,101.2,101.2,0,,,,
41,BANCO,LD BAG,190 X 490,,PCS,11670,11670,0,0.013,0,,
42,BAXY,VCI BAG BLUE PRINTED,13 X 14 X 75,3N00000PB19,PCS,46315,34515,11800,0.017,200.6,ok,
43,BAXY,VCI BAG,7 X 12 X 300,,PCS,4300,4300,0,0.0008,0,ok,
44,BAXY,VCI BAG NATURAL,10 X 16,3N00000PB02,PCS,111000,111000,0,0.016,0,ok,
45,BAXY,VCI BAG,11 X 37,3N00000PB21,PCS,23280,7000,16280,0.0381,620.268,ok,
46,BAXY,VCI BAG,6 X 30,,PCS,0,,0,0.016,0,,
47,BAXY,VCI BAG,300 X 100 X 100 X 320,,PCS,0,0,0,0.042,0,,
48,BAXY,VCI BAG,800 x 950 75 mic,3N00000PB34,PCS,8153,6000,2153,0.0107,23.0371,ok,
49,BAXY,VCI BAG,150 X 350 ,,PCS,0,0,0,0.007,0,,
50,BAXY,VCI BAG,333 X 333,,PCS,0,,0,0.0016,0,,
